f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,n_select,tau,clf,energy_syn,mmd_syn,disp_ratio,accept,secs,guard,guard_mode,guard_fired,guard_amt,rho_before,rho_after
0.5098039215686274,0.6408553614135919,0.6993529355790276,0.9151203730136074,0.051490150150150155,0.04300900900900901,JapaneseVowels,0,5,8.0,30,210,none,0.85,12,29,2.0,64,2.0,rf,,,,,,,,,,,
0.5454545454545454,0.8750025488319796,0.8750118945665619,0.918070225520982,0.09108726726726726,0.166,JapaneseVowels,0,5,8.0,30,210,SMOTE-raw,0.85,12,29,2.0,64,2.0,rf,1.8208311617377468,0.07800531354316198,0.5483789941954831,,,,,,,,
0.4722222222222222,0.7138369782491262,0.7387953182986011,0.9046055761728042,0.06693792792792792,0.07525225225225225,JapaneseVowels,0,5,8.0,30,210,guide=gpf | walk=aligned,0.85,12,29,2.0,64,2.0,rf,8.81527959949021,0.1760446898466942,4.968032553873166,0.34539473684210525,2.3,0.0,,,,,
0.49019607843137253,0.8348781950277996,0.8353791987819963,0.9232086782757636,0.08720117117117118,0.1354684684684685,JapaneseVowels,0,5,8.0,30,210,guide=gpf | walk=aligned | guard-shrink,0.85,12,29,2.0,64,2.0,rf,0.8057890438694244,0.02760180849092686,1.1825072657792774,0.34539473684210525,3.5,1.0,shrink,1.0,0.634,4.97,1.18
0.5070422535211268,0.7368603493348819,0.7578742030640404,0.9070320677514512,0.06597717717717717,0.07381981981981982,JapaneseVowels,0,5,8.0,30,210,guide=gpf | walk=aligned | guard-trim,0.85,12,29,2.0,64,2.0,rf,5.736987960449152,0.15743344585605268,1.9936455283555778,0.34539473684210525,4.7,1.0,trim,1.0,0.281,4.97,2.0
0.5714285714285714,0.8686721491408194,0.8692073460843087,0.9308212008754401,0.08916102102102104,0.1652972972972973,JapaneseVowels,0,5,8.0,30,210,guide=sig | walk=aligned,0.85,12,29,2.0,64,2.0,rf,1.9588728350568516,0.04182509301782167,4.087777544761582,0.29829545454545453,2.9,0.0,,,,,
0.5473684210526316,0.8629571387463867,0.8633076410695595,0.9211628128271006,0.09605306306306306,0.1838288288288288,JapaneseVowels,0,5,8.0,30,210,guide=sig | walk=aligned | guard-shrink,0.85,12,29,2.0,64,2.0,rf,1.7755376581228148,0.07159643850456399,1.262823326903607,0.29829545454545453,4.2,1.0,shrink,1.0,0.699,4.09,1.26
0.5531914893617021,0.8643894337381997,0.8647825673232468,0.9226377390807879,0.09123387387387387,0.16556756756756758,JapaneseVowels,0,5,8.0,30,210,guide=sig | walk=aligned | guard-trim,0.85,12,29,2.0,64,2.0,rf,1.3497860065863065,0.037232105002149574,1.927289018687165,0.29829545454545453,5.3,1.0,trim,1.0,0.067,4.09,1.96
0.44,0.588612720570814,0.6656199448092112,0.9093158245313542,0.053237867867867855,0.027162162162162162,JapaneseVowels,0,10,10.0,24,216,none,0.85,12,29,2.1999999999999997,64,2.0,rf,,,,,,,,,,,
0.4854368932038835,0.8334522705113219,0.833904272528309,0.9056522980302598,0.10211666666666666,0.17278378378378378,JapaneseVowels,0,10,10.0,24,216,SMOTE-raw,0.85,12,29,2.1999999999999997,64,2.0,rf,1.728700190890919,0.07246597916380626,0.5294063329741628,,,,,,,,
