f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,n_select,tau,clf,energy_syn,mmd_syn,disp_ratio,accept,secs,guard
0.7368421052631579,0.7637626158259734,0.7916666666666667,0.9952256944444444,0.011251185185185185,0.018999999999999996,ArticularyWordRecognition,0,5,24.0,11,253,none,0.53,9,144,2.0,32,2.0,rf,,,,,,
0.8,0.816496580927726,0.8333333333333333,0.9988425925925926,0.007607777777777779,0.012288888888888889,ArticularyWordRecognition,0,5,24.0,11,253,SMOTE-raw,0.53,9,144,2.0,32,2.0,rf,1.4588065939443782,0.2120737668333968,0.43141392935599693,,,
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9924768518518519,0.004913407407407408,0.012155555555555557,ArticularyWordRecognition,0,5,24.0,11,253,guide=gpf | walk=aligned,0.53,9,144,2.0,32,2.0,rf,1.7136640271638726,0.14016252766061144,1.383669964095171,0.8784722222222222,2.9,0.0
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9992766203703705,0.004004555555555556,0.014499999999999999,ArticularyWordRecognition,0,5,24.0,11,253,guide=sig | walk=aligned,0.53,9,144,2.0,32,2.0,rf,1.0054808246916345,0.10953372989133314,1.0796617256637677,0.790625,3.7,0.0
0.7368421052631579,0.7637626158259734,0.7916666666666667,0.9968171296296297,0.011319962962962962,0.018344444444444444,ArticularyWordRecognition,0,10,24.0,11,253,none,0.53,9,144,2.0,32,2.0,rf,,,,,,
0.8,0.816496580927726,0.8333333333333333,0.9988425925925927,0.007146555555555555,0.011522222222222224,ArticularyWordRecognition,0,10,24.0,11,253,SMOTE-raw,0.53,9,144,2.0,32,2.0,rf,1.4073638467698881,0.22484767905969494,0.3765398650794117,,,
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9933449074074074,0.005021222222222224,0.012433333333333333,ArticularyWordRecognition,0,10,24.0,11,253,guide=gpf | walk=aligned,0.53,9,144,2.0,32,2.0,rf,1.7505341716386287,0.14934290573851827,1.3733943862578977,0.8784722222222222,2.4,0.0
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9992766203703705,0.004116296296296297,0.01751111111111111,ArticularyWordRecognition,0,10,24.0,11,253,guide=sig | walk=aligned,0.53,9,144,2.0,32,2.0,rf,0.9935106248526351,0.10667883847142401,1.1302994497958543,0.790625,4.0,0.0
0.7368421052631579,0.7637626158259734,0.7916666666666667,0.9929108796296298,0.01170351851851852,0.01856666666666667,ArticularyWordRecognition,0,20,24.0,11,253,none,0.53,9,144,2.0,32,2.0,rf,,,,,,
0.8,0.816496580927726,0.8333333333333333,0.9986979166666666,0.007793296296296298,0.011899999999999999,ArticularyWordRecognition,0,20,24.0,11,253,SMOTE-raw,0.53,9,144,2.0,32,2.0,rf,1.3352686313314521,0.20299428054038082,0.42593834768526556,,,
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9917534722222222,0.004973703703703704,0.011600000000000001,ArticularyWordRecognition,0,20,24.0,11,253,guide=gpf | walk=aligned,0.53,9,144,2.0,32,2.0,rf,1.813041753998518,0.15646150221318322,1.2764702473094083,0.8784722222222222,2.4,0.0
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9994212962962963,0.004055185185185186,0.015266666666666666,ArticularyWordRecognition,0,20,24.0,11,253,guide=sig | walk=aligned,0.53,9,144,2.0,32,2.0,rf,1.0587112971685269,0.11386150890897129,1.049651861087764,0.790625,3.8,0.0
0.8,0.816496580927726,0.8333333333333333,0.9949363425925926,0.011130666666666667,0.018955555555555555,ArticularyWordRecognition,1,5,24.0,11,253,none,0.53,9,144,2.1999999999999997,32,2.0,rf,,,,,,
0.7368421052631579,0.7637626158259734,0.7916666666666667,0.9992766203703705,0.007944851851851852,0.012433333333333334,ArticularyWordRecognition,1,5,24.0,11,253,SMOTE-raw,0.53,9,144,2.1999999999999997,32,2.0,rf,1.3276590153482823,0.19447773407242624,0.48576115312893314,,,
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9917534722222222,0.005339703703703706,0.014511111111111114,ArticularyWordRecognition,1,5,24.0,11,253,guide=gpf | walk=aligned,0.53,9,144,2.1999999999999997,32,2.0,rf,1.740320916009611,0.13473334088040256,1.6439259461920928,0.8784722222222222,2.1,0.0
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9965277777777778,0.004552481481481481,0.016677777777777777,ArticularyWordRecognition,1,5,24.0,11,253,guide=sig | walk=aligned,0.53,9,144,2.1999999999999997,32,2.0,rf,0.9648224862495178,0.08859031761218894,1.300145791034624,0.790625,3.0,0.0
0.8,0.816496580927726,0.8333333333333333,0.9949363425925926,0.010543222222222223,0.018477777777777777,ArticularyWordRecognition,1,10,24.0,11,253,none,0.53,9,144,2.1999999999999997,32,2.0,rf,,,,,,
0.8,0.816496580927726,0.8333333333333333,0.9991319444444444,0.007697999999999999,0.011733333333333335,ArticularyWordRecognition,1,10,24.0,11,253,SMOTE-raw,0.53,9,144,2.1999999999999997,32,2.0,rf,1.3797782311272835,0.20930298236240952,0.4220454981203426,,,
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9937789351851852,0.005209592592592591,0.012433333333333336,ArticularyWordRecognition,1,10,24.0,11,253,guide=gpf | walk=aligned,0.53,9,144,2.1999999999999997,32,2.0,rf,1.8692510274040508,0.15060364735078846,1.5374275519060425,0.8784722222222222,2.3,0.0
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9934895833333334,0.004759444444444445,0.0141,ArticularyWordRecognition,1,10,24.0,11,253,guide=sig | walk=aligned,0.53,9,144,2.1999999999999997,32,2.0,rf,1.0526309895608055,0.10035436993882929,1.4597140633383514,0.790625,3.3,0.0
0.8,0.816496580927726,0.8333333333333333,0.9943576388888888,0.011216481481481482,0.01843333333333333,ArticularyWordRecognition,1,20,24.0,11,253,none,0.53,9,144,2.1999999999999997,32,2.0,rf,,,,,,
