f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,n_select,tau,clf,energy_syn,mmd_syn,disp_ratio,accept,secs,guard,guard_fired,guard_c,rho_before,rho_after
0.6649417852522639,0.7057350887577264,0.7475803526905118,0.967549148495701,0.1613050102580715,0.23395853579527048,ItalyPowerDemand,0,5,4.7,7,26,none,0.645,1,24,2.0,64,2.0,rf,,,,,,,,,,
0.8073394495412844,0.8227098358942211,0.8362969762908563,0.9817572570530547,0.1062752812483287,0.16289937963667137,ItalyPowerDemand,0,5,4.7,7,26,none,0.645,1,24,2.0,64,2.0,ridge,,,,,,,,,,
0.7550776583034647,0.7787388905384358,0.8002402647445487,0.9645307281986188,0.13395114998380306,0.18976352445740202,ItalyPowerDemand,0,5,4.7,7,26,SMOTE-raw,0.645,1,24,2.0,64,2.0,rf,1.6134451520982775,0.1441736221967801,0.6516082953919244,,,,,,,
0.8818565400843882,0.8876768222068879,0.8909345391903531,0.976158635175363,0.07991973230723075,0.10117663938409543,ItalyPowerDemand,0,5,4.7,7,26,SMOTE-raw,0.645,1,24,2.0,64,2.0,ridge,1.6134451520982775,0.1441736221967801,0.6516082953919244,,,,,,,
0.8453837597330367,0.855644480092943,0.8645564168819982,0.9799854934493858,0.10843822481373501,0.1801684483317137,ItalyPowerDemand,0,5,4.7,7,26,guide=gpf | walk=plain,0.645,1,24,2.0,64,2.0,rf,1.5744018040863512,0.14832428815121124,1.0015218780144557,0.40625,0.1,0.0,,,,
0.9055036344755971,0.9093091680129886,0.911385375583662,0.9820556991099627,0.06681176928618794,0.08733570219527986,ItalyPowerDemand,0,5,4.7,7,26,guide=gpf | walk=plain,0.645,1,24,2.0,64,2.0,ridge,1.5744018040863512,0.14832428815121124,1.0015218780144557,0.40625,0.1,0.0,,,,
0.8453837597330367,0.855644480092943,0.8645564168819982,0.9799854934493858,0.10843822481373501,0.1801684483317137,ItalyPowerDemand,0,5,4.7,7,26,guide=gpf | walk=plain | guard,0.645,1,24,2.0,64,2.0,rf,1.5744018040863512,0.14832428815121124,1.0015218780144557,0.40625,0.8,1.0,0.0,1.0,1.0,1.0
0.9055036344755971,0.9093091680129886,0.911385375583662,0.9820556991099627,0.06681176928618794,0.08733570219527986,ItalyPowerDemand,0,5,4.7,7,26,guide=gpf | walk=plain | guard,0.645,1,24,2.0,64,2.0,ridge,1.5744018040863512,0.14832428815121124,1.0015218780144557,0.40625,0.8,1.0,0.0,1.0,1.0,1.0
0.6623544631306598,0.7036738787488618,0.7456367015730541,0.9749856445592879,0.14643542813950977,0.23174279235503725,ItalyPowerDemand,0,5,4.7,7,26,guide=gpf | walk=aligned,0.645,1,24,2.0,64,2.0,rf,5.931050547100146,0.3217174645073611,2.2775100387876077,0.40625,0.7,0.0,,,,
0.8064146620847652,0.8219012756636015,0.8353279840427943,0.9745039817459238,0.10910510398035214,0.15531373763276374,ItalyPowerDemand,0,5,4.7,7,26,guide=gpf | walk=aligned,0.645,1,24,2.0,64,2.0,ridge,5.931050547100146,0.3217174645073611,2.2775100387876077,0.40625,0.7,0.0,,,,
