f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,n_select,tau,clf,energy_syn,mmd_syn,disp_ratio,accept,secs,guard
0.6666666666666666,0.7071067811865476,0.75,0.9946469907407407,0.012341925925925925,0.024755555555555555,ArticularyWordRecognition,0,5,24.0,11,253,none,0.53,9,144,1.7999999999999998,128,2.0,rf,,,,,,
0.7368421052631579,0.7637626158259734,0.7916666666666667,0.9973958333333333,0.009871074074074076,0.01745555555555556,ArticularyWordRecognition,0,5,24.0,11,253,SMOTE-raw,0.53,9,144,1.7999999999999998,128,2.0,rf,2.468296725397602,0.20198054764535045,0.4886385460041004,,,
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9962384259259259,0.006207666666666666,0.01858888888888889,ArticularyWordRecognition,0,5,24.0,11,253,guide=gpf | walk=aligned,0.53,9,144,1.7999999999999998,128,2.0,rf,3.1098575584025703,0.15589507271473224,1.2106709374752647,0.8784722222222222,1.0,0.0
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9997106481481481,0.004259259259259259,0.02033333333333333,ArticularyWordRecognition,0,5,24.0,11,253,guide=sig | walk=aligned,0.53,9,144,1.7999999999999998,128,2.0,rf,1.7380383790996081,0.10832522347571005,1.1559796596244263,0.8784722222222222,1.2,0.0
0.6666666666666666,0.7071067811865476,0.75,0.9971064814814814,0.012668000000000002,0.02508888888888889,ArticularyWordRecognition,0,10,24.0,11,253,none,0.53,9,144,1.7999999999999998,128,2.0,rf,,,,,,
0.7368421052631579,0.7637626158259734,0.7916666666666667,0.998119212962963,0.009768185185185185,0.017611111111111105,ArticularyWordRecognition,0,10,24.0,11,253,SMOTE-raw,0.53,9,144,1.7999999999999998,128,2.0,rf,2.4699507173458386,0.2176000624872848,0.430487120146386,,,
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9992766203703703,0.00532562962962963,0.020466666666666668,ArticularyWordRecognition,0,10,24.0,11,253,guide=gpf | walk=aligned,0.53,9,144,1.7999999999999998,128,2.0,rf,3.315834738641053,0.16721834432409355,1.1499873754663321,0.98828125,0.7,0.0
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9994212962962964,0.004297074074074075,0.017899999999999996,ArticularyWordRecognition,0,10,24.0,11,253,guide=sig | walk=aligned,0.53,9,144,1.7999999999999998,128,2.0,rf,1.7211421454820606,0.10532900410620771,1.1073536381471725,0.8784722222222222,1.2,0.0
0.7368421052631579,0.7637626158259734,0.7916666666666667,0.9956597222222221,0.012443148148148148,0.024477777777777775,ArticularyWordRecognition,0,20,24.0,11,253,none,0.53,9,144,1.7999999999999998,128,2.0,rf,,,,,,
0.6666666666666666,0.7071067811865476,0.75,0.9976851851851852,0.010159740740740742,0.017277777777777777,ArticularyWordRecognition,0,20,24.0,11,253,SMOTE-raw,0.53,9,144,1.7999999999999998,128,2.0,rf,2.37789512980474,0.20360960287510543,0.4784161083098545,,,
