f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,energy_syn,mmd_syn,disp_ratio,accept,secs
0.6649417852522639,0.7057350887577264,0.7475803526905118,0.967549148495701,0.1613050102580715,0.23395853579527048,ItalyPowerDemand,0,5,4.7,7,26,none,0.645,1,24,2.0,,,,,
0.7550776583034647,0.7787388905384358,0.8002402647445487,0.9645307281986188,0.13395114998380306,0.18976352445740202,ItalyPowerDemand,0,5,4.7,7,26,SMOTE-raw,0.645,1,24,2.0,1.6134451520982775,0.1441736221967801,0.6516082953919244,,
0.8453837597330367,0.855644480092943,0.8645564168819982,0.9799854934493858,0.10843822481373501,0.1801684483317137,ItalyPowerDemand,0,5,4.7,7,26,guide=gpf | walk=plain,0.645,1,24,2.0,1.5744018040863512,0.14832428815121124,1.0015218780144557,0.40625,0.0
0.6623544631306598,0.7036738787488618,0.7456367015730541,0.9749856445592879,0.14643542813950977,0.23174279235503725,ItalyPowerDemand,0,5,4.7,7,26,guide=gpf | walk=aligned,0.645,1,24,2.0,5.931050547100146,0.3217174645073611,2.2775100387876077,0.40625,0.0
0.7903225806451613,0.808125470125646,0.8226800852259848,0.9544365867295282,0.12883836518734476,0.15830579850988014,ItalyPowerDemand,0,5,4.7,7,26,guide=sig | walk=aligned,0.645,1,24,2.0,5.365998090583167,0.33078532469213257,2.4329069891723276,0.40625,0.0
0.8,0.8164132946949467,0.8304603563171494,0.9661570485213896,0.11787768059604795,0.17444120505344995,ItalyPowerDemand,0,5,4.7,7,26,guide=dtw | walk=aligned,0.645,1,24,2.0,4.487616439331054,0.30554737162230144,2.648359085973059,0.8125,5.4
0.5123010130246021,0.5868224420118113,0.6715456276349789,0.9365168411986038,0.21272116402116403,0.26824425008098474,ItalyPowerDemand,0,10,8.2,4,29,none,0.645,1,24,1.5999999999999999,,,,,
0.6683870967741935,0.7084758178626311,0.7495296704293033,0.935151185457183,0.17300471871288198,0.21191124068675088,ItalyPowerDemand,0,10,8.2,4,29,SMOTE-raw,0.645,1,24,1.5999999999999999,2.060643810288269,0.1731985804836731,0.3958209180440669,,
0.7083854818523154,0.7405738399397461,0.7729214832948004,0.9337949740846517,0.15888433214555664,0.18801425332037575,ItalyPowerDemand,0,10,8.2,4,29,guide=gpf | walk=plain,0.645,1,24,1.5999999999999999,1.5785834293237393,0.12709993894071858,0.7016129381572627,0.453125,0.0
0.7350427350427351,0.7622723458874415,0.7885273584477991,0.9422741284736389,0.14271472843105498,0.16689018464528665,ItalyPowerDemand,0,10,8.2,4,29,guide=gpf | walk=aligned,0.645,1,24,1.5999999999999999,3.8504750243808683,0.2426863436327822,2.034338133650351,0.453125,0.0
0.7388688327316486,0.7652993481723602,0.7885613581758013,0.9208712996962691,0.15102978080120938,0.16327178490443797,ItalyPowerDemand,0,10,8.2,4,29,guide=sig | walk=aligned,0.645,1,24,1.5999999999999999,1.7234862192153653,0.12973156167785227,1.311412663055979,0.453125,0.0
