f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,energy_syn,mmd_syn,disp_ratio,accept,secs
0.7368421052631579,0.7637626158259734,0.7916666666666667,0.9979745370370371,0.010944518518518518,0.021044444444444442,ArticularyWordRecognition,0,5,24.0,11,253,none,0.53,9,144,1.7999999999999998,,,,,
0.7368421052631579,0.7637626158259734,0.7916666666666667,0.9985532407407408,0.009361555555555557,0.01457777777777778,ArticularyWordRecognition,0,5,24.0,11,253,SMOTE-raw,0.53,9,144,1.7999999999999998,1.7871764123459375,0.20452131648395988,0.4648991426784426,,
0.9090909090909091,0.9128709291752769,0.9166666666666667,0.9992766203703705,0.005776185185185185,0.013144444444444443,ArticularyWordRecognition,0,5,24.0,11,253,guide=gpf | walk=plain,0.53,9,144,1.7999999999999998,2.073136286896961,0.12225765286978285,1.3416141304677924,0.8784722222222222,0.3
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9997106481481481,0.004229481481481482,0.019000000000000003,ArticularyWordRecognition,0,5,24.0,11,253,guide=gpf | walk=aligned,0.53,9,144,1.7999999999999998,1.6075796769971404,0.12721635505980344,0.9063971686841916,0.8784722222222222,1.0
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9992766203703703,0.004880814814814815,0.016577777777777778,ArticularyWordRecognition,0,5,24.0,11,253,guide=sig | walk=plain,0.53,9,144,1.7999999999999998,1.1350634346974537,0.09258356248240818,1.1103142802167134,0.8784722222222222,0.6
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9979745370370371,0.004141074074074075,0.012055555555555555,ArticularyWordRecognition,0,5,24.0,11,253,guide=sig | walk=aligned,0.53,9,144,1.7999999999999998,1.149560320603289,0.09918213504287843,1.133269274508637,0.8784722222222222,1.1
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9994212962962963,0.004180814814814815,0.01833333333333333,ArticularyWordRecognition,0,5,24.0,11,253,guide=dtw | walk=plain,0.53,9,144,1.7999999999999998,1.1953614400634098,0.0846806719886678,1.1613468265857738,0.98828125,8.2
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9971064814814814,0.004336518518518517,0.01782222222222222,ArticularyWordRecognition,0,5,24.0,11,253,guide=dtw | walk=aligned,0.53,9,144,1.7999999999999998,1.264317972561095,0.10070612600245066,1.0814954208615895,0.98828125,8.4
0.6666666666666666,0.7071067811865476,0.75,0.9943576388888888,0.010924962962962963,0.019866666666666668,ArticularyWordRecognition,0,10,24.0,11,253,none,0.53,9,144,2.0,,,,,
0.7368421052631579,0.7637626158259734,0.7916666666666667,0.9985532407407407,0.009240518518518518,0.014733333333333334,ArticularyWordRecognition,0,10,24.0,11,253,SMOTE-raw,0.53,9,144,2.0,1.762380498981674,0.2184662632682387,0.4067719542531976,,
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9994212962962963,0.0048729259259259255,0.013788888888888889,ArticularyWordRecognition,0,10,24.0,11,253,guide=gpf | walk=plain,0.53,9,144,2.0,2.5328677610903902,0.13851157603595388,1.8889523344946972,0.8784722222222222,0.3
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9997106481481481,0.004263444444444445,0.017099999999999997,ArticularyWordRecognition,0,10,24.0,11,253,guide=gpf | walk=aligned,0.53,9,144,2.0,1.7492150808122506,0.12715758515190068,1.2572541773745305,0.8784722222222222,0.8
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9997106481481481,0.004672851851851852,0.017788888888888885,ArticularyWordRecognition,0,10,24.0,11,253,guide=sig | walk=plain,0.53,9,144,2.0,1.1970786846495702,0.07725911425574727,1.5191716910654993,0.8784722222222222,0.6
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9994212962962963,0.0034451111111111115,0.015000000000000001,ArticularyWordRecognition,0,10,24.0,11,253,guide=sig | walk=aligned,0.53,9,144,2.0,0.9835405570550826,0.07499387569319971,1.31987950499375,0.8784722222222222,1.2
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9991319444444444,0.004892814814814816,0.019666666666666666,ArticularyWordRecognition,0,10,24.0,11,253,guide=dtw | walk=plain,0.53,9,144,2.0,1.2865001268411138,0.07638988335921404,1.7016596078213824,0.98828125,8.1
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9991319444444444,0.004143259259259259,0.020555555555555556,ArticularyWordRecognition,0,10,24.0,11,253,guide=dtw | walk=aligned,0.53,9,144,2.0,1.1058977313361638,0.07897142365141563,1.4381245678589147,0.98828125,8.3
0.8,0.816496580927726,0.8333333333333333,0.9950810185185186,0.011189407407407407,0.021177777777777778,ArticularyWordRecognition,0,20,24.0,11,253,none,0.53,9,144,1.7999999999999998,,,,,
0.7368421052631579,0.7637626158259734,0.7916666666666667,0.9985532407407407,0.009631925925925926,0.014488888888888888,ArticularyWordRecognition,0,20,24.0,11,253,SMOTE-raw,0.53,9,144,1.7999999999999998,1.6715264086689352,0.1981673383372426,0.45859244821956624,,
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9950810185185185,0.005659444444444444,0.01338888888888889,ArticularyWordRecognition,0,20,24.0,11,253,guide=gpf | walk=plain,0.53,9,144,1.7999999999999998,2.3770546926146405,0.14898821577195942,1.3132187424303914,0.8784722222222222,0.3
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9994212962962963,0.0043182222222222216,0.017155555555555556,ArticularyWordRecognition,0,20,24.0,11,253,guide=gpf | walk=aligned,0.53,9,144,1.7999999999999998,1.9199011393958365,0.1588625309822994,0.8368311436457084,0.8784722222222222,0.8
