f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,ref_energy,n_feat,n_channels,length,energy_syn,mmd_syn,disp_ratio,accept,M
0.8,0.816496580927726,0.8333333333333333,0.9981884057971014,0.010611496913580246,0.021180555555555557,ArticularyWordRecognition,0,5,25.1,11,265,none (raw-flat RF),0.53,1.6392665266086333,,,,,,,,
0.9090909090909091,0.9128709291752769,0.9166666666666667,0.9879227053140096,0.008557523148148151,0.020868055555555553,ArticularyWordRecognition,0,5,25.1,11,265,none,0.53,1.6392665266086333,64.0,9.0,144.0,,,,,
0.8571428571428571,0.8660254037844386,0.875,0.9972826086956521,0.007542206790123458,0.015856481481481482,ArticularyWordRecognition,0,5,25.1,11,265,SMOTE-raw,0.53,1.6392665266086333,64.0,9.0,144.0,1.7229183404283681,0.13735298286981357,0.5765583792043218,,
0.9090909090909091,0.9128709291752769,0.9166666666666667,0.9944142512077294,0.007266126543209876,0.01719907407407407,ArticularyWordRecognition,0,5,25.1,11,265,KNNOR-raw (M=1),0.53,1.6392665266086333,64.0,9.0,144.0,2.730977756025922,0.2241895907273488,0.4478770569156623,1.0,
0.8571428571428571,0.8660254037844386,0.875,0.9963768115942029,0.007580941358024691,0.0180787037037037,ArticularyWordRecognition,0,5,25.1,11,265,chain-mean-GPF (PSSTO-style),0.53,1.6392665266086333,64.0,9.0,144.0,2.1191373027254787,0.2473967339768614,0.39460731227320855,,
0.9090909090909091,0.9128709291752769,0.9166666666666667,0.9969806763285025,0.007819367283950615,0.018055555555555554,ArticularyWordRecognition,0,5,25.1,11,265,KNNOR-GPF (M=1),0.53,1.6392665266086333,64.0,9.0,144.0,2.395156601329683,0.2885819655630338,0.3298591264738552,1.0,1.0
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9932065217391305,0.006657368827160494,0.017789351851851855,ArticularyWordRecognition,0,5,25.1,11,265,KNNOR-GPF (M=3/2),0.53,1.6392665266086333,64.0,9.0,144.0,1.8494051033511703,0.1532284963509577,0.7175284182009216,0.9962406015037594,1.5
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9959239130434783,0.006179282407407408,0.017627314814814814,ArticularyWordRecognition,0,5,25.1,11,265,KNNOR-GPF (M calibrated),0.53,1.6392665266086333,64.0,9.0,144.0,1.7872254615371528,0.13846450228090357,0.7965989646311128,0.9962406015037594,1.5999999999999999
0.9166666666666666,0.9556910644282592,0.9565217391304348,0.9954710144927535,0.0071802469135802465,0.01884259259259259,ArticularyWordRecognition,0,5,25.1,11,265,hybrid GPF-nbrs/raw-walk (M calibrated),0.53,1.6392665266086333,64.0,9.0,144.0,1.589676347777246,0.10098258748174282,1.1901247029427762,0.828125,1.5999999999999999
0.9090909090909091,0.9128709291752769,0.9166666666666667,0.9963768115942029,0.0075385416666666665,0.017465277777777774,ArticularyWordRecognition,0,5,25.1,11,265,hybrid GPF-nbrs/raw-walk (M=1),0.53,1.6392665266086333,64.0,9.0,144.0,2.503216754721688,0.24593333330925815,0.36791013171897774,0.828125,1.0
0.8,0.816496580927726,0.8333333333333333,0.9984903381642513,0.010101929012345679,0.02060185185185185,ArticularyWordRecognition,0,10,25.1,11,265,none (raw-flat RF),0.53,1.6392665266086368,,,,,,,,
0.9090909090909091,0.9128709291752769,0.9166666666666667,0.9924516908212561,0.008887152777777777,0.02186342592592593,ArticularyWordRecognition,0,10,25.1,11,265,none,0.53,1.6392665266086368,64.0,9.0,144.0,,,,,
0.8571428571428571,0.8660254037844386,0.875,0.9960748792270531,0.007939506172839506,0.01615740740740741,ArticularyWordRecognition,0,10,25.1,11,265,SMOTE-raw,0.53,1.6392665266086368,64.0,9.0,144.0,1.731569139797525,0.1398606352861409,0.5683462801289574,,
0.9090909090909091,0.9128709291752769,0.9166666666666667,0.9921497584541061,0.0075198302469135815,0.017245370370370376,ArticularyWordRecognition,0,10,25.1,11,265,KNNOR-raw (M=1),0.53,1.6392665266086368,64.0,9.0,144.0,2.6640449624513103,0.22092869146736688,0.43395762920543945,1.0,
0.8571428571428571,0.8660254037844386,0.875,0.9972826086956521,0.007582831790123457,0.018136574074074072,ArticularyWordRecognition,0,10,25.1,11,265,chain-mean-GPF (PSSTO-style),0.53,1.6392665266086368,64.0,9.0,144.0,2.0923945834848556,0.2501823931023279,0.38632001175976566,,
0.9090909090909091,0.9128709291752769,0.9166666666666667,0.9960748792270531,0.007420871913580247,0.018275462962962966,ArticularyWordRecognition,0,10,25.1,11,265,KNNOR-GPF (M=1),0.53,1.6392665266086368,64.0,9.0,144.0,2.3858827685266135,0.29684806998477054,0.30024150447516657,1.0,1.0
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9977355072463767,0.0062147762345679015,0.0177662037037037,ArticularyWordRecognition,0,10,25.1,11,265,KNNOR-GPF (M=3/2),0.53,1.6392665266086368,64.0,9.0,144.0,1.8116706371392297,0.15617377246091668,0.6499605832875287,0.9925093632958801,1.5
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9971316425120773,0.006087461419753085,0.016840277777777773,ArticularyWordRecognition,0,10,25.1,11,265,KNNOR-GPF (M calibrated),0.53,1.6392665266086368,64.0,9.0,144.0,1.7465212196104787,0.1407802060905311,0.7233034273587688,0.9888059701492538,1.5999999999999999
0.9166666666666666,0.9556910644282592,0.9565217391304348,0.9954710144927537,0.00745644290123457,0.021354166666666664,ArticularyWordRecognition,0,10,25.1,11,265,hybrid GPF-nbrs/raw-walk (M calibrated),0.53,1.6392665266086368,64.0,9.0,144.0,1.545264945167645,0.09887354017574546,1.1357805062194672,0.828125,1.5999999999999999
