f1,gmean,bacc,auc,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,ref_energy,energy_syn,disp_ratio,accept,M
0.75,0.7745966692414834,0.8,0.8416666666666667,BasicMotions,0,5,5.0,6,24,none (raw-flat RF),0.04,0.4414206395876332,,,,
0.8888888888888888,0.8944271909999159,0.9,1.0,BasicMotions,0,5,5.0,6,24,none,0.04,0.4414206395876332,,,,
0.8888888888888888,0.8944271909999159,0.9,1.0,BasicMotions,0,5,5.0,6,24,SMOTE-raw,0.04,0.4414206395876332,0.6097096959703714,0.5120231961322763,,
0.8888888888888888,0.8944271909999159,0.9,1.0,BasicMotions,0,5,5.0,6,24,KNNOR-raw (M=1),0.04,0.4414206395876332,1.309496719769024,0.08909518871479526,0.12307692307692308,
0.8888888888888888,0.8944271909999159,0.9,1.0,BasicMotions,0,5,5.0,6,24,chain-mean-GPF (PSSTO-style),0.04,0.4414206395876332,0.5973524394566956,0.2838497591339604,,
0.8888888888888888,0.8944271909999159,0.9,1.0,BasicMotions,0,5,5.0,6,24,KNNOR-GPF (M=1),0.04,0.4414206395876332,0.5043146336754385,0.49553482599385434,1.0,1.0
1.0,1.0,1.0,1.0,BasicMotions,0,5,5.0,6,24,KNNOR-GPF (M=3/2),0.04,0.4414206395876332,0.3643140758134662,1.0994925502950939,1.0,1.5
1.0,1.0,1.0,1.0,BasicMotions,0,5,5.0,6,24,KNNOR-GPF (M calibrated),0.04,0.4414206395876332,0.3928216836659699,1.0126347588943707,0.8888888888888888,1.5999999999999999
0.5714285714285714,0.6324555320336759,0.7,0.8133333333333334,BasicMotions,0,10,7.5,4,26,none (raw-flat RF),0.04,0.7872565980200066,,,,
0.8235294117647058,0.8366600265340756,0.85,1.0,BasicMotions,0,10,7.5,4,26,none,0.04,0.7872565980200066,,,,
0.8888888888888888,0.8944271909999159,0.9,1.0,BasicMotions,0,10,7.5,4,26,SMOTE-raw,0.04,0.7872565980200066,0.9536662502780353,0.45827816188687936,,
0.8888888888888888,0.8944271909999159,0.9,1.0,BasicMotions,0,10,7.5,4,26,KNNOR-raw (M=1),0.04,0.7872565980200066,1.4382171554666416,0.22476727984726866,0.6046511627906976,
0.9473684210526315,0.9486832980505138,0.95,1.0,BasicMotions,0,10,7.5,4,26,chain-mean-GPF (PSSTO-style),0.04,0.7872565980200066,0.9762945308276629,0.25931124843227127,,
0.9473684210526315,0.9486832980505138,0.95,1.0,BasicMotions,0,10,7.5,4,26,KNNOR-GPF (M=1),0.04,0.7872565980200066,0.9539032244747276,0.4195785827889989,1.0,1.0
0.9473684210526315,0.9486832980505138,0.95,1.0,BasicMotions,0,10,7.5,4,26,KNNOR-GPF (M=3/2),0.04,0.7872565980200066,0.8584769614326935,0.9774268209112089,1.0,1.5
0.9473684210526315,0.9486832980505138,0.95,1.0,BasicMotions,0,10,7.5,4,26,KNNOR-GPF (M calibrated),0.04,0.7872565980200066,0.8465844855265146,1.1115488246613952,1.0,1.5999999999999999
0.5714285714285714,0.6324555320336759,0.7,0.795,BasicMotions,0,20,7.5,4,26,none (raw-flat RF),0.04,0.7050516551373969,,,,
0.75,0.7745966692414834,0.8,0.9933333333333333,BasicMotions,0,20,7.5,4,26,none,0.04,0.7050516551373969,,,,
0.8235294117647058,0.8366600265340756,0.85,1.0,BasicMotions,0,20,7.5,4,26,SMOTE-raw,0.04,0.7050516551373969,0.7615819450276122,0.47026527787337047,,
0.8235294117647058,0.8366600265340756,0.85,1.0,BasicMotions,0,20,7.5,4,26,KNNOR-raw (M=1),0.04,0.7050516551373969,1.4317804143681236,0.1567706288196216,0.48148148148148145,
